Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
5454,Introduction,H112,H112,3,0,0.971,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.027,0.0008,0,0,0,0,0,0,0,0
5454,Aluminium Vol1,H112,H112,3,0,0.9635,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0275,0.008,0,0,0,0,0,0,0,0
5154,Introduction,H112,H112,3,0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0
5254,Introduction,H112,H112,3,0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0
5154,Aluminium Vol1,H112,H112,3,0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5454, H112",all_alloys.csv,H112,H112,3,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0.001251564,0,0.001001252,0,0.001251564,0
5086,Aluminium Vol1,H112,H112,3,0,0.9545,0,0,0,0,0,0.001,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0
5086,Introduction,H112,H112,3,0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5086, H112",all_alloys.csv,H112,H112,3,0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0.002002002,0,0.000750751,0,0.001251251,0
5083,Aluminium Vol1,H112,H112,3,0,0.9465,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0445,0.008,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5083, H112",all_alloys.csv,H112,H112,3,0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0.002001001,0,0.000750375,0,0.001250625,0
5456,Aluminium Vol1,H112,H112,3,0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5456, H112",all_alloys.csv,H112,H112,3,0,0.934233558,0,0,0,0,0,0.001250313,0.000500125,0,0,0.0020005,0,0,0.051012753,0.007501875,0,0,0.001250313,0,0.00100025,0,0.001250313,0
